country_name,language,marital_status,gender,urban_rural,region,age,education_level,social_class,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
colombia,Spanish; Castilian,Living together as married,Female,Rural,CO-ANT Antioquia,45-54,Lower,Lower middle class,6,4,7,6,3,"La protección del medio ambiente debe ser una prioridad, incluso si esto provoca un menor crecimiento económico y cierta pérdida de puestos de trabajo.",Sí,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,Dar a la gente más voz en las decisiones importantes del gobierno,8,9,5,7,9,Nunca justificable,Nunca justificable,Importante,Nunca justificable,Nunca justificable,10,2,2,5,2,1,No es importante,Bastante importante,Importante,Importante,Importante,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,Importante,8,5,10,7,1,10,10,Importante,8,7,Bastante respeto,Bastante orgulloso,No es importante,Totalmente de acuerdo,Discrepar,Bastante importante,Totalmente en desacuerdo,Discrepar,Totalmente en desacuerdo,Estoy totalmente en desacuerdo.,Aceptar,Bastante importante,No me importa,No me importa,¡Qué bien!,Muy importante,Confía un poco,Confía un poco,Bastante importante,Confía un poco,Confía un poco,Confía un poco,Confía un poco,No mucho,Bastante,No mucho,Bastante,No mucho,Bastante,Bastante,Bastante,No mucho,No mucho,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante
colombia,Spanish; Castilian,Living together as married,Male,Rural,CO-ANT Antioquia,45-54,Lower,Lower class,5,3,1,5,3,"La protección del medio ambiente debe ser una prioridad, incluso si esto provoca un menor crecimiento económico y cierta pérdida de puestos de trabajo.",Sí,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,Dar a la gente más voz en las decisiones importantes del gobierno,8,9,5,7,9,Nunca justificable,Nunca justificable,Importante,Nunca justificable,Nunca justificable,10,1,1,5,2,1,No es importante,Bastante importante,Importante,Importante,Importante,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,Importante,8,5,10,10,1,10,10,Importante,8,3,Bastante respeto,Bastante orgulloso,No es importante,Aceptar,Discrepar,Bastante importante,Totalmente en desacuerdo,Discrepar,Totalmente en desacuerdo,Estoy totalmente en desacuerdo.,Aceptar,Bastante importante,No me importa,No me importa,No me importa,Muy importante,Confía un poco,Confía un poco,Bastante importante,Confía un poco,Confía un poco,Confía un poco,No confíes demasiado.,No mucho,Bastante,No mucho,Bastante,No mucho,No mucho,No mucho,No mucho,Ninguna en absoluto,No mucho,No mucho,Bastante,Bastante,Bastante,Bastante,Bastante
colombia,Spanish; Castilian,Single,Male,Urban,CO-ANT Antioquia,16-24,Middle,Lower middle class,6,4,7,7,4,"La protección del medio ambiente debe ser una prioridad, incluso si esto provoca un menor crecimiento económico y cierta pérdida de puestos de trabajo.",Sí,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,Dar a la gente más voz en las decisiones importantes del gobierno,8,9,4,7,5,Nunca justificable,Nunca justificable,Importante,Nunca justificable,Nunca justificable,10,5,8,9,3,2,No es importante,Bastante importante,Importante,Importante,Importante,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,Importante,8,5,9,8,1,10,10,Importante,8,7,Bastante respeto,Bastante orgulloso,No es importante,Aceptar,Discrepar,Bastante importante,Totalmente en desacuerdo,Discrepar,Discrepar,Estoy totalmente en desacuerdo.,Discrepar,Bastante importante,No me importa,No me importa,¡Qué bien!,Muy importante,Confía un poco,Confía un poco,No es muy importante,Confía un poco,Confía un poco,Confía un poco,Confía un poco,Bastante,Bastante,No mucho,Bastante,No mucho,No mucho,Bastante,No mucho,No mucho,No mucho,No mucho,Bastante,Bastante,Bastante,Bastante,Bastante
colombia,Spanish; Castilian,Married,Male,Urban,CO-ANT Antioquia,55-64,Lower,Lower middle class,6,4,7,7,3,"La protección del medio ambiente debe ser una prioridad, incluso si esto provoca un menor crecimiento económico y cierta pérdida de puestos de trabajo.",Sí,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,Dar a la gente más voz en las decisiones importantes del gobierno,8,9,4,7,9,Nunca justificable,Nunca justificable,Importante,Nunca justificable,Nunca justificable,10,3,6,5,2,1,No es importante,Bastante importante,Importante,Importante,Importante,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,Importante,8,5,10,7,1,10,10,Importante,8,7,Bastante respeto,Bastante orgulloso,No es importante,Aceptar,Discrepar,Bastante importante,Totalmente en desacuerdo,Discrepar,Totalmente en desacuerdo,Estoy totalmente en desacuerdo.,Discrepar,Bastante importante,No me importa,No me importa,¡Qué bien!,Bastante importante,Confía un poco,Confía un poco,No es muy importante,Confía un poco,Confía un poco,Confía un poco,Confía un poco,Bastante,Bastante,No mucho,Bastante,No mucho,Bastante,Bastante,Bastante,No mucho,No mucho,No mucho,Bastante,Bastante,Bastante,Bastante,Bastante
colombia,Spanish; Castilian,Single,Female,Urban,CO-DC Distrito Capital de Bogotá,16-24,Higher,Lower middle class,6,4,7,8,3,"La protección del medio ambiente debe ser una prioridad, incluso si esto provoca un menor crecimiento económico y cierta pérdida de puestos de trabajo.",Sí,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,Dar a la gente más voz en las decisiones importantes del gobierno,8,9,4,7,5,Nunca justificable,Nunca justificable,Importante,Nunca justificable,Nunca justificable,10,5,8,9,3,1,No es importante,Bastante importante,Importante,Importante,Importante,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,Importante,8,5,9,8,1,10,10,Importante,8,7,Bastante respeto,Bastante orgulloso,No es importante,Aceptar,Discrepar,Muy importante,Totalmente en desacuerdo,Discrepar,Discrepar,Estoy totalmente en desacuerdo.,Discrepar,Bastante importante,No me importa,¡Qué bien!,¡Qué bien!,Muy importante,Confía plenamente,Confía un poco,No es muy importante,Confía un poco,Confía un poco,Confía un poco,Confía un poco,Bastante,Mucho,No mucho,Bastante,No mucho,No mucho,Bastante,No mucho,No mucho,No mucho,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante
colombia,Spanish; Castilian,Single,Female,Urban,CO-DC Distrito Capital de Bogotá,16-24,Lower,Lower middle class,6,4,7,7,4,"La protección del medio ambiente debe ser una prioridad, incluso si esto provoca un menor crecimiento económico y cierta pérdida de puestos de trabajo.",Sí,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,Dar a la gente más voz en las decisiones importantes del gobierno,8,9,4,7,5,Nunca justificable,Nunca justificable,Importante,Nunca justificable,Nunca justificable,10,3,5,6,3,1,No es importante,Bastante importante,Importante,Importante,Importante,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,Importante,8,5,9,8,1,10,10,Importante,8,7,Bastante respeto,Bastante orgulloso,No es importante,Aceptar,Discrepar,Muy importante,Totalmente en desacuerdo,Discrepar,Totalmente en desacuerdo,Estoy totalmente en desacuerdo.,Discrepar,Bastante importante,No me importa,No me importa,¡Qué bien!,Muy importante,Confía un poco,Confía un poco,No es muy importante,Confía un poco,Confía un poco,Confía un poco,Confía un poco,Bastante,Mucho,No mucho,Bastante,No mucho,No mucho,Bastante,No mucho,No mucho,No mucho,No mucho,Bastante,Bastante,Bastante,Bastante,Bastante
colombia,Spanish; Castilian,Single,Female,Urban,CO-DC Distrito Capital de Bogotá,16-24,Middle,Lower middle class,6,4,7,7,4,"La protección del medio ambiente debe ser una prioridad, incluso si esto provoca un menor crecimiento económico y cierta pérdida de puestos de trabajo.",Sí,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,Dar a la gente más voz en las decisiones importantes del gobierno,8,9,4,7,5,Nunca justificable,Nunca justificable,Importante,Nunca justificable,Nunca justificable,10,3,5,6,3,1,No es importante,Bastante importante,Importante,Importante,Importante,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,Importante,8,5,9,8,1,10,10,Importante,8,7,Bastante respeto,Bastante orgulloso,No es importante,Aceptar,Discrepar,Muy importante,Totalmente en desacuerdo,Discrepar,Discrepar,Estoy totalmente en desacuerdo.,Discrepar,Bastante importante,No me importa,No me importa,¡Qué bien!,Muy importante,Confía un poco,Confía un poco,No es muy importante,Confía un poco,Confía un poco,Confía un poco,Confía un poco,Bastante,Mucho,No mucho,Bastante,No mucho,No mucho,Bastante,No mucho,No mucho,No mucho,No mucho,Bastante,Bastante,Bastante,Bastante,Bastante
colombia,Spanish; Castilian,Living together as married,Female,Urban,CO-DC Distrito Capital de Bogotá,25-34,Higher,Lower middle class,6,5,7,7,4,"La protección del medio ambiente debe ser una prioridad, incluso si esto provoca un menor crecimiento económico y cierta pérdida de puestos de trabajo.",Sí,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,Dar a la gente más voz en las decisiones importantes del gobierno,8,9,4,7,5,Nunca justificable,Nunca justificable,Importante,Nunca justificable,Nunca justificable,10,5,8,7,2,1,No es importante,Bastante importante,Importante,Importante,Importante,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,Importante,8,5,9,8,1,10,10,Importante,8,7,Bastante respeto,Bastante orgulloso,No es importante,Aceptar,Discrepar,Muy importante,Totalmente en desacuerdo,Discrepar,Discrepar,Estoy totalmente en desacuerdo.,Discrepar,Bastante importante,No me importa,No me importa,¡Qué bien!,Bastante importante,Confía un poco,Confía un poco,No es muy importante,Confía un poco,Confía un poco,Confía un poco,Confía un poco,Bastante,Bastante,No mucho,Bastante,No mucho,No mucho,Bastante,No mucho,No mucho,No mucho,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante
colombia,Spanish; Castilian,Living together as married,Female,Urban,CO-DC Distrito Capital de Bogotá,25-34,Lower,Lower middle class,6,5,7,7,4,"La protección del medio ambiente debe ser una prioridad, incluso si esto provoca un menor crecimiento económico y cierta pérdida de puestos de trabajo.",Sí,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,Dar a la gente más voz en las decisiones importantes del gobierno,8,9,4,7,5,Nunca justificable,Nunca justificable,Importante,Nunca justificable,Nunca justificable,10,3,6,7,2,1,No es importante,Bastante importante,Importante,Importante,Importante,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,Importante,8,5,9,8,1,10,10,Importante,8,7,Bastante respeto,Bastante orgulloso,No es importante,Aceptar,Discrepar,Bastante importante,Totalmente en desacuerdo,Discrepar,Totalmente en desacuerdo,Estoy totalmente en desacuerdo.,Discrepar,Bastante importante,No me importa,No me importa,¡Qué bien!,Bastante importante,Confía un poco,Confía un poco,No es muy importante,Confía un poco,Confía un poco,Confía un poco,Confía un poco,Bastante,Bastante,No mucho,Bastante,No mucho,No mucho,Bastante,No mucho,No mucho,No mucho,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante
colombia,Spanish; Castilian,Living together as married,Female,Urban,CO-DC Distrito Capital de Bogotá,25-34,Middle,Lower middle class,6,5,7,7,4,"La protección del medio ambiente debe ser una prioridad, incluso si esto provoca un menor crecimiento económico y cierta pérdida de puestos de trabajo.",Sí,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,Dar a la gente más voz en las decisiones importantes del gobierno,8,9,4,7,5,Nunca justificable,Nunca justificable,Importante,Nunca justificable,Nunca justificable,10,5,8,7,2,1,No es importante,Bastante importante,Importante,Importante,Importante,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,Importante,8,5,9,8,1,10,10,Importante,8,7,Bastante respeto,Bastante orgulloso,No es importante,Aceptar,Discrepar,Bastante importante,Totalmente en desacuerdo,Discrepar,Totalmente en desacuerdo,Estoy totalmente en desacuerdo.,Discrepar,Bastante importante,No me importa,No me importa,¡Qué bien!,Bastante importante,Confía un poco,Confía un poco,No es muy importante,Confía un poco,Confía un poco,Confía un poco,Confía un poco,Bastante,Bastante,No mucho,Bastante,No mucho,No mucho,Bastante,No mucho,No mucho,No mucho,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante
